Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),AirTemperature(C),filename
2011,4,23,3,-17.05,KAN_B_hour_v03.csv
2011,4,23,4,-17.38,KAN_B_hour_v03.csv
2011,4,23,5,-17.1,KAN_B_hour_v03.csv
2011,4,23,6,-17.0,KAN_B_hour_v03.csv
2011,4,23,7,-18.32,KAN_B_hour_v03.csv
2011,4,23,8,-18.03,KAN_B_hour_v03.csv
2011,4,23,9,-16.8,KAN_B_hour_v03.csv
2011,4,23,10,-15.86,KAN_B_hour_v03.csv
2011,4,23,11,-14.22,KAN_B_hour_v03.csv
2011,4,23,12,-13.01,KAN_B_hour_v03.csv
2011,4,23,13,-12.77,KAN_B_hour_v03.csv
2011,4,23,14,-12.93,KAN_B_hour_v03.csv
2011,4,23,15,-12.07,KAN_B_hour_v03.csv
2011,4,23,16,-11.63,KAN_B_hour_v03.csv
2011,4,23,17,-11.51,KAN_B_hour_v03.csv
2011,4,23,18,-11.2,KAN_B_hour_v03.csv
2011,4,23,19,-10.76,KAN_B_hour_v03.csv
2011,4,23,20,-11.73,KAN_B_hour_v03.csv
2011,4,23,21,-11.97,KAN_B_hour_v03.csv
2011,4,23,22,-12.76,KAN_B_hour_v03.csv
2011,4,23,23,-14.05,KAN_B_hour_v03.csv
2011,4,24,0,-14.76,KAN_B_hour_v03.csv
2011,4,24,1,-14.78,KAN_B_hour_v03.csv
2011,4,24,2,-15.6,KAN_B_hour_v03.csv
2011,4,24,3,-15.6,KAN_B_hour_v03.csv
2011,4,24,4,-15.08,KAN_B_hour_v03.csv
2011,4,24,5,-14.95,KAN_B_hour_v03.csv
2011,4,24,6,-15.58,KAN_B_hour_v03.csv
2011,4,24,7,-15.68,KAN_B_hour_v03.csv
2011,4,24,8,-14.61,KAN_B_hour_v03.csv
2011,4,24,9,-14.73,KAN_B_hour_v03.csv
2011,4,24,10,-14.06,KAN_B_hour_v03.csv
2011,4,24,11,-12.61,KAN_B_hour_v03.csv
2011,4,24,12,-11.44,KAN_B_hour_v03.csv
2011,4,24,13,-10.69,KAN_B_hour_v03.csv
2011,4,24,14,-10.11,KAN_B_hour_v03.csv
2011,4,24,15,-9.44,KAN_B_hour_v03.csv
2011,4,24,16,-9.03,KAN_B_hour_v03.csv
2011,4,24,17,-8.61,KAN_B_hour_v03.csv
2011,4,24,18,-8.04,KAN_B_hour_v03.csv
2011,4,24,19,-7.95,KAN_B_hour_v03.csv
2011,4,24,20,-8.37,KAN_B_hour_v03.csv
2011,4,24,21,-9.37,KAN_B_hour_v03.csv
2011,4,24,22,-10.68,KAN_B_hour_v03.csv
2011,4,24,23,-11.73,KAN_B_hour_v03.csv
